route_id,service_id,trip_id,trip_headsign,direction_id,block_id
88-1414,22PVSB-88-Semaine-00,17996354-22PVSB-88-Semaine-00,"Hoenheim Gare",1,1248292
88-1414,22PVSB-88-Semaine-00,17996355-22PVSB-88-Semaine-00,"Wacken",0,1248290
88-1414,22PVSB-88-Semaine-00,17997360-22PVSB-88-Semaine-00,"Hoenheim Gare",1,1248286
88-1414,22PVSB-88-Semaine-00,17997361-22PVSB-88-Semaine-00,"Hoenheim Gare",1,1248286
88-1414,22PVSB-88-Semaine-00,17997362-22PVSB-88-Semaine-00,"Hoenheim Gare",1,1248288
88-1414,22PVSB-88-Semaine-00,17997363-22PVSB-88-Semaine-00,"Hoenheim Gare",1,1248291
88-1414,22PVSB-88-Semaine-00,17997364-22PVSB-88-Semaine-00,"Hoenheim Gare",1,1248289
88-1414,22PVSB-88-Semaine-00,17997365-22PVSB-88-Semaine-00,"Wacken",0,1248291
88-1414,22PVSB-88-Semaine-00,17997366-22PVSB-88-Semaine-00,"Wacken",0,1248289
88-1414,22PVSB-88-Semaine-00,17997367-22PVSB-88-Semaine-00,"Wacken",0,1248286
88-1414,22PVSB-88-Semaine-00,17997368-22PVSB-88-Semaine-00,"Wacken",0,1248292
88-1414,22PVSB-88-Semaine-00,17997369-22PVSB-88-Semaine-00,"Wacken",0,1248288
88-1414,22PVSB-88-Semaine-00,17997370-22PVSB-88-Semaine-00,"Hoenheim Gare",1,1248289
88-1414,22PVSB-88-Semaine-00,17997371-22PVSB-88-Semaine-00,"Wacken",0,1248288
88-1414,22PVSB-88-Semaine-00,17997372-22PVSB-88-Semaine-00,"Wacken",0,1248286
88-1414,22PVSB-88-Semaine-00,17997373-22PVSB-88-Semaine-00,"Wacken",0,1248293
88-1414,22PVSB-88-Semaine-00,17997374-22PVSB-88-Semaine-00,"Wacken",0,1248291
88-1414,22PVSB-88-Semaine-00,17997375-22PVSB-88-Semaine-00,"Wacken",0,1248289
88-1414,22PVSB-88-Semaine-00,17997376-22PVSB-88-Semaine-00,"Wacken",0,1248286
88-1414,22PVSB-88-Semaine-00,17997377-22PVSB-88-Semaine-00,"Wacken",0,1248292
88-1414,22PVSB-88-Semaine-00,17997378-22PVSB-88-Semaine-00,"Wacken",0,1248288
88-1414,22PVSB-88-Semaine-00,17997379-22PVSB-88-Semaine-00,"Wacken",0,1248293
88-1414,22PVSB-88-Semaine-00,17997380-22PVSB-88-Semaine-00,"Wacken",0,1248291
88-1414,22PVSB-88-Semaine-00,17997381-22PVSB-88-Semaine-00,"Wacken",0,1248295
88-1414,22PVSB-88-Semaine-00,17997382-22PVSB-88-Semaine-00,"Wacken",0,1248289
88-1414,22PVSB-88-Semaine-00,17997383-22PVSB-88-Semaine-00,"Wacken",0,1248286
88-1414,22PVSB-88-Semaine-00,17997384-22PVSB-88-Semaine-00,"Wacken",0,1248290
88-1414,22PVSB-88-Semaine-00,17997385-22PVSB-88-Semaine-00,"Wacken",0,1248292
88-1414,22PVSB-88-Semaine-00,17997386-22PVSB-88-Semaine-00,"Wacken",0,1248288
88-1414,22PVSB-88-Semaine-00,17997387-22PVSB-88-Semaine-00,"Wacken",0,1248293
88-1414,22PVSB-88-Semaine-00,17997388-22PVSB-88-Semaine-00,"Wacken",0,1248291
88-1414,22PVSB-88-Semaine-00,17997389-22PVSB-88-Semaine-00,"Wacken",0,1248295
88-1414,22PVSB-88-Semaine-00,17997390-22PVSB-88-Semaine-00,"Wacken",0,1248289
88-1414,22PVSB-88-Semaine-00,17997391-22PVSB-88-Semaine-00,"Wacken",0,1248286
88-1414,22PVSB-88-Semaine-00,17997401-22PVSB-88-Semaine-00,"Hoenheim Gare",1,1248288
88-1414,22PVSB-88-Semaine-00,17997402-22PVSB-88-Semaine-00,"Hoenheim Gare",1,1248293
